species,condition,TR,Pseud1,Pseud8,Pseud10,Pseud11
FS,A,1,4,2,2,0
FS,A,1,3,5,2,0
FS,A,1,3,2,2,0
FS,A,2,5,6,3,0
FS,A,2,4,4,1,0
FS,A,2,3,6,2,0
FS,B,1,2,4,2,0
FS,B,1,3,3,2,0
FS,B,1,3,3,2,0
FS,B,2,4,6,3,0
FS,B,2,4,6,2,0
FS,B,2,4,5,1,0
FO,A,1,7,6,5,0
FO,A,1,5,5,6,0
FO,A,1,4,5,2,0
FO,A,2,3,4,4,0
FO,A,2,4,4,4,0
FO,A,2,3,4,2,0
FO,B,1,4,4,4,0
FO,B,1,5,3,4,0
FO,B,1,5,3,4,0
FO,B,2,4,4,2,0
FO,B,2,3,3,3,0
FO,B,2,4,3,2,0
FG,A,1,2,6,0,0
FG,A,1,2,5,0,0
FG,A,1,4,4,0,0
FG,A,2,2,5,0,0
FG,A,2,3,5,0,0
FG,A,2,1,5,0,0
FG,B,1,2,5,1,0
FG,B,1,1,4,1,0
FG,B,1,2,3,0,0
FG,B,2,4,3,1,0
FG,B,2,3,4,2,0
FG,B,2,4,4,1,0
FC,A,1,5,11,5,2
FC,A,1,7,9,4,1
FC,A,1,5,9,4,2
FC,A,2,4,9,7,3
FC,A,2,8,10,5,1
FC,A,2,6,7,4,2
FC,B,1,4,7,4,0
FC,B,1,6,7,5,0
FC,B,1,6,7,4,0
FC,B,2,5,5,5,0
FC,B,2,7,5,3,0
FC,B,2,6,6,2,0
